err_mag_from_ASAS,sigclipped_mag_bestap,time_BJDTDB
0.037,9.253,2453641.733868429
0.041,9.25,2453644.666728449
0.027,9.274000000000001,2453647.860368432
0.028,9.267000000000001,2453650.66789838
0.043,9.271,2453652.705788327
0.032,9.287,2453654.710728271
0.029,9.274000000000001,2453656.69526822
0.031,9.291,2453658.692578182
0.038,9.283000000000001,2453660.713938161
0.046,9.282,2453662.784628157
0.032,9.263,2453665.61613817
0.028,9.265,2453668.706718192
0.028,9.286000000000001,2453670.753798202
0.028,9.284,2453673.607748203
0.032,9.278,2453675.668108186
0.031,9.269,2453678.602238138
0.035,9.259,2453700.608497825
0.035,9.271,2453703.577347791
0.039,9.287,2453705.647407758
0.034,9.282,2453707.741657717
0.031,9.289,2453713.671327605
0.04,9.281,2453715.720347576
0.037,9.276,2453718.596397541
0.038,9.286000000000001,2453720.677757516
0.043,9.277000000000001,2453726.591527423
0.038,9.271,2453728.643127386
0.037,9.26,2453732.60783731
0.033,9.291,2453735.610717252
0.031,9.270000000000001,2453738.579128782
0.033,9.294,2453740.628898765
0.031,9.281,2453743.610708755
0.044,9.265,2453746.628298745
0.042,9.269,2453749.59947872
0.04,9.295,2453752.614948674
0.035,9.269,2453755.57290861
0.034,9.294,2453758.569348538
0.038,9.264000000000001,2453761.574458465
0.049,9.256,2453764.563048409
0.043,9.26,2453767.554628387
0.038,9.26,2453773.557168427
0.036,9.251000000000001,2453776.547598441
0.044,9.248000000000001,2453778.573188434
0.048,9.251000000000001,2453783.520818356
0.041,9.26,2453788.545458219
0.04,9.270000000000001,2453792.518298122
0.032,9.276,2453795.511308094
0.039,9.263,2453798.511008112
0.033,9.287,2453863.926847528
0.051,9.265,2453872.927057376
0.031,9.275,2453877.917857252
0.029,9.290000000000001,2453893.893297018
0.038,9.257,2453900.891636873
0.03,9.285,2453903.906876812
0.033,9.276,2453906.909796761
0.046,9.271,2454104.63533293
0.032,9.281,2454106.675652876
0.033,9.271,2454125.585322401
0.032,9.264000000000001,2454127.594172391
0.031,9.275,2454129.603472378
0.032,9.279,2454132.562622342
0.051,9.269,2454134.598392302
0.031,9.271,2454136.596932247
0.029,9.269,2454139.550272149
0.03,9.273,2454141.577562077
0.037,9.258000000000001,2454144.554021974
0.031,9.269,2454147.54979189
0.029,9.269,2454151.551891834
0.03,9.293000000000001,2454154.533361836
0.034,9.271,2454158.517551849
0.034,9.295,2454161.510841833
0.039,9.277000000000001,2454164.51693178
0.036,9.278,2454167.506581695
0.031,9.274000000000001,2454258.901309854
0.031,9.255,2454273.897059456
0.036,9.269,2454280.916259243
0.027,9.285,2454293.891638955
0.035,9.261000000000001,2454302.866868667
0.026,9.273,2454306.877578514
0.045,9.281,2454308.843698447
0.045,9.277000000000001,2454314.849098305
0.04,9.3,2454331.834037955
0.027,9.257,2454336.803997756
0.029,9.271,2454339.770567663
0.039,9.295,2454350.741367583
0.026,9.270000000000001,2454353.739417548
0.031,9.270000000000001,2454355.791707504
0.029,9.26,2454358.723597412
0.037,9.233,2454361.717297296
0.026,9.278,2454363.748707213
0.026,9.275,2454365.742277134
0.038,9.274000000000001,2454372.738796969
0.035,9.284,2454375.744486958
0.046,9.272,2454377.811106955
0.034,9.258000000000001,2454380.668586937
0.028,9.26,2454382.71283691
0.033,9.270000000000001,2454384.732526869
0.027,9.269,2454386.764136814
0.031,9.277000000000001,2454388.764466747
0.03,9.264000000000001,2454392.671716594
0.038,9.281,2454399.666636363
0.034,9.269,2454402.670486315
0.028,9.258000000000001,2454404.742166291
0.031,9.261000000000001,2454408.61551624
0.042,9.244,2454413.775006135
0.037,9.255,2454420.606005911
0.028,9.276,2454422.656365832
0.037,9.309000000000001,2454425.778605721
0.039,9.287,2454428.581125638
0.034,9.282,2454430.641005586
0.027,9.280000000000001,2454432.691945537
0.031,9.267000000000001,2454437.599525405
0.03,9.269,2454439.675895345
0.032,9.248000000000001,2454442.664155257
0.036,9.276,2454455.617674856
0.036,9.277000000000001,2454458.594814772
0.037,9.277000000000001,2454460.678734709
0.032,9.258000000000001,2454463.597404607
0.046,9.244,2454465.677404528
0.048,9.272,2454468.642194419
0.041,9.24,2454475.556424204
0.032,9.269,2454478.565754136
0.034,9.280000000000001,2454483.596214049
0.029,9.293000000000001,2454489.569083917
0.032,9.285,2454491.616773848
0.032,9.278,2454494.563503736
0.03,9.271,2454498.565483587
0.051,9.268,2454500.596033521
0.036,9.261000000000001,2454503.570393448
0.037,9.259,2454506.563153406
0.039,9.282,2454509.547383391
0.05,9.296000000000001,2454512.549773386
0.038,9.275,2454519.541543286
0.043,9.256,2454522.52925319
0.04,9.264000000000001,2454529.508832949
0.039,9.293000000000001,2454533.501932866
0.044,9.302000000000001,2454538.496922855
0.037,9.280000000000001,2454640.901620552
0.039,9.289,2454644.888290449
0.032,9.284,2454648.884580352
0.029,9.26,2454674.857669662
0.032,9.246,2454686.872829346
0.027,9.274000000000001,2454690.8323092
0.037,9.287,2454693.841619114
0.031,9.273,2454697.806279046
0.027,9.279,2454702.77838903
0.041,9.258000000000001,2454705.770169025
0.035,9.296000000000001,2454715.809048784
0.047,9.277000000000001,2454719.747318641
0.037,9.277000000000001,2454724.742098512
0.033,9.288,2454726.806798488
0.03,9.265,2454729.756568482
0.049,9.288,2454732.849298491
0.035,9.265,2454736.705938478
0.031,9.275,2454740.675018406
0.044,9.272,2454750.665528077
0.037,9.275,2454752.712938022
0.037,9.277000000000001,2454754.752587983
0.032,9.288,2454757.633847957
0.035,9.278,2454759.701227949
0.034,9.266,2454761.804007941
0.035,9.262,2454764.64019792
0.029,9.273,2454766.757437892
0.033,9.263,2454769.626337834
0.037,9.246,2454771.67511778
0.033,9.277000000000001,2454773.756787717
0.033,9.290000000000001,2454776.587337622
0.031,9.26,2454778.625327553
0.036,9.313,2454780.65619749
0.04,9.252,2454783.713457414
0.032,9.261000000000001,2454786.632857362
0.035,9.278,2454794.665907217
0.038,9.273,2454797.668167148
0.044,9.273,2454802.597007016
0.03,9.278,2454804.619966955
0.039,9.272,2454806.685806891
0.034,9.279,2454808.730676829
0.046,9.270000000000001,2454819.649996525
0.042,9.265,2454828.563826262
0.04,9.275,2454830.698366209
0.05,9.269,2454833.619837714
0.04,9.272,2454836.581577649
0.039,9.282,2454838.648767606
0.043,9.272,2454850.592957248
0.031,9.280000000000001,2454853.589427145
0.042,9.307,2454859.586897002
0.048,9.302000000000001,2454865.538076941
0.04,9.269,2454871.557836881
0.036,9.268,2454875.545566777
0.035,9.265,2454881.532826568
0.035,9.278,2454884.529286481
0.048,9.296000000000001,2454969.925765211
0.045,9.282,2454994.924254757
0.048,9.261000000000001,2455008.916814475
0.044,9.268,2455031.937784087
0.041,9.274000000000001,2455040.836353897
0.05,9.287,2455049.87425369
0.049,9.261000000000001,2455075.769103345
0.045,9.268,2455082.829663277
0.04,9.264000000000001,2455092.768013313
0.046,9.277000000000001,2455097.757123215
0.042,9.265,2455099.749783157
0.045,9.265,2455104.714543018
0.045,9.262,2455111.657972931
0.042,9.278,2455116.811072958
0.044,9.265,2455124.739292916
0.049,9.263,2455154.798452514
0.024,9.262,2451880.535774945
0.029,9.267,2452156.699523493
0.024,9.268,2452164.723473928
0.025,9.283,2452167.699674096
0.026,9.287,2452168.718364145
0.025,9.283,2452169.725464188
0.032,9.276,2452170.755504225
0.03,9.287,2452171.731634254
0.023,9.258,2452172.732594278
0.026,9.287,2452173.696134298
0.025,9.251,2452174.696004313
0.026,9.265,2452177.675144352
0.027,9.257,2452178.678864365
0.033,9.266,2452180.609484395
0.027,9.276,2452183.640564466
0.027,9.263,2452184.648224498
